Using primary device: cuda:0
Loading fine-tuned model from Qwen/Qwen2.5-1.5B-Instruct...
`torch_dtype` is deprecated! Use `dtype` instead!
Fine-tuned model loaded
Detected 2 GPUs

Starting RL fine-tuning using M3PO (Multi-Path Perception Policy Optimization)...
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: alienpenguin (alienpenguin-inc) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run dhtwwnog
wandb: Tracking run with wandb version 0.24.0
wandb: Run data is saved locally in /mnt/vurm/homes/homes/vk545/Neuralese/M3PO/wandb/run-20260214_173959-dhtwwnog
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run M3PO kl_divergence
wandb: ⭐️ View project at https://wandb.ai/alienpenguin-inc/latent-space-reasoning
wandb: 🚀 View run at https://wandb.ai/alienpenguin-inc/latent-space-reasoning/runs/dhtwwnog
Weights & Biases initialized.
[M3PO] Training with cross-path interaction: lambda=0.1, temp=0.1
[M3PO] Using kl_divergence gating function with config: {'temperature': 0.1, 'debug': False}
Model wrapped with DataParallel across GPUs: [0, 1]

Iteration 1/1
/homes/vk545/Neuralese/miniconda3/envs/ant/lib/python3.11/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
Iteration 1/1, Step 231/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 232/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 233/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 234/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 235/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 236/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 237/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 238/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 239/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 240/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 241/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 242/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 243/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 244/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 245/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 246/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 247/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 248/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 249/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 250/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 251/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 252/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 253/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 254/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 255/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 256/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 257/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 258/500, GRPO iter 1/1, loss: 0.0002
Iteration 1/1, Step 259/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 260/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 261/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 262/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 263/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 264/500, GRPO iter 1/1, loss: 0.0002
Iteration 1/1, Step 265/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 266/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 267/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 268/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 269/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 270/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 271/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 272/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 273/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 274/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 275/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 276/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 277/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 278/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 279/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 280/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 281/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 282/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 283/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 284/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 285/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 286/500, GRPO iter 1/1, loss: 0.0001
Iteration 1/1, Step 287/500, GRPO iter 1/1, loss: 0.0002
